# Verified 2026-09-26 against NCBI Taxonomy (E-utilities efetch) and the KEGG GENOME record of each code (KEGGREST keggGet gn:<code>). Read by validate_kegg_identity() in run_enrichment.R.
kegg_code	registry_name	registry_taxon	accepted_names	accepted_taxa	relation	evidence
bsu	Bacillus subtilis subsp. subtilis 168	224308	Bacillus subtilis 168	224308	same strain; KEGG adds the subspecies	NCBI Taxonomy 224308 Bacillus subtilis subsp. subtilis str. 168 (strain; species 1423); KEGG GENOME gn:bsu TAX:224308
sao	Staphylococcus aureus subsp. aureus NCTC8325	93061	Staphylococcus aureus NCTC 8325	93061	same strain; KEGG adds the subspecies	NCBI Taxonomy 93061 Staphylococcus aureus subsp. aureus NCTC 8325 (strain; species 1280); KEGG GENOME gn:sao TAX:93061
mgr	Pyricularia oryzae	318829	Magnaporthe oryzae	242507	KEGG uses the current name Pyricularia oryzae; 242507 (70-15) is a strain of species 318829	NCBI Taxonomy 242507 Pyricularia oryzae 70-15 (strain; parent 318829 Pyricularia oryzae); KEGG GENOME gn:mgr Pyricularia oryzae 70-15 (Magnaporthe oryzae 70-15) TAX:242507
uma	Mycosarcoma maydis	5270	Ustilago maydis	237631|5270	KEGG uses the current name Mycosarcoma maydis; NCBI merged 237631 (Ustilago maydis 521) into 5270	NCBI Taxonomy 5270 Mycosarcoma maydis (species; AkaTaxIds 237631); KEGG GENOME gn:uma Mycosarcoma maydis 521 (Ustilago maydis 521) TAX:5270
fox	Fusarium oxysporum	5507	Fusarium oxysporum	426428	426428 (f. sp. lycopersici 4287) is a strain of species 5507	NCBI Taxonomy 426428 Fusarium oxysporum f. sp. lycopersici 4287 (strain; species 5507); KEGG GENOME gn:fox TAX:426428
fpu	Fusarium pseudograminearum	101028	Fusarium pseudograminearum	1028729	1028729 (CS3096) is a strain of species 101028	NCBI Taxonomy 1028729 Fusarium pseudograminearum CS3096 (strain; parent 101028); KEGG GENOME gn:fpu TAX:1028729
fvr	Fusarium verticillioides	117187	Fusarium verticillioides	334819	334819 (7600) is a strain of species 117187	NCBI Taxonomy 334819 Fusarium verticillioides 7600 (strain; parent 117187); KEGG GENOME gn:fvr TAX:334819
cal	Candida albicans	5476	Candida albicans	237561	237561 (SC5314) is a strain of species 5476	NCBI Taxonomy 237561 Candida albicans SC5314 (strain; parent 5476); KEGG GENOME gn:cal TAX:237561
ncr	Neurospora crassa	5141	Neurospora crassa	367110	367110 (OR74A) is a strain of species 5141	NCBI Taxonomy 367110 Neurospora crassa OR74A (strain; parent 5141); KEGG GENOME gn:ncr TAX:367110
ani	Aspergillus nidulans	162425	Aspergillus nidulans	227321	227321 (FGSC A4) is a strain of species 162425	NCBI Taxonomy 227321 Aspergillus nidulans FGSC A4 (strain; parent 162425); KEGG GENOME gn:ani TAX:227321
afm	Aspergillus fumigatus	746128	Aspergillus fumigatus	330879	330879 (Af293) is a strain of species 746128	NCBI Taxonomy 330879 Aspergillus fumigatus Af293 (strain; parent 746128); KEGG GENOME gn:afm TAX:330879
bfu	Botrytis cinerea	40559	Botrytis cinerea	332648	332648 (B05.10) is a strain of species 40559	NCBI Taxonomy 332648 Botrytis cinerea B05.10 (strain; parent 40559); KEGG GENOME gn:bfu TAX:332648
pfa	Plasmodium falciparum 3D7	36329	Plasmodium falciparum 3D7	5833|36329	36329 (3D7) is an isolate of species 5833	NCBI Taxonomy 36329 Plasmodium falciparum 3D7 (isolate; parent 5833); KEGG GENOME gn:pfa TAX:36329
